coin_id,symbol,name,price_inr,market_cap_inr,volume_24h_inr,price_change_24h,price_change_pct_24h,high_24h,low_24h,circulating_supply,timestamp
bitcoin,BTC,Bitcoin,7406934.0,148382711685602,3739768013679,-31193.595660478808,-0.41937,7475325.0,7325935.0,20031425.0,2026-05-19 17:22:42
ethereum,ETH,Ethereum,203816.0,24597872926771,1608135398727,-1580.7110897889943,-0.76959,207231.0,200531.0,120685699.9092533,2026-05-19 17:22:42
binancecoin,BNB,BNB,61710.0,8319161458305,72335358340,-82.6207068534568,-0.13371,62245.0,61125.0,134785268.73,2026-05-19 17:22:42
solana,SOL,Solana,8149.21,4712509135448,256353520602,-29.827602102648598,-0.36468,8260.48,8051.06,578277739.5699009,2026-05-19 17:22:42
